product_id,brand,category,retailer,title,title_length,bullet_count,bullets,has_main_image,has_lifestyle_images,has_a_plus_content,in_stock,price_present,star_rating,review_count
P00001,Coca-Cola,Beverages,Target.com,Coca-Cola Energy Drink 12pk,27,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,2.9,814
P00002,Kelloggs,Snacks,Instacart,Kelloggs Cheese Crackers Box,28,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,True,3.6,1470
P00003,Colgate-Palmolive,Home Care,Instacart,Colgate-Palmolive Dish,22,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,False,True,2.9,2708
P00004,Nestle,Confectionery,Walmart.com,Nestle Chocolate Bar (Pack of 1),32,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,True,4.1,700
P00005,Kelloggs,Breakfast,Instacart,Kelloggs - Granola Bars 6pk,27,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,True,True,True,3.2,3862
P00006,Kelloggs,Snacks,Instacart,Kelloggs Cheese Crackers Box (Pack of 8),40,1,Made with real ingredients for a taste you'll love,True,False,False,True,True,3.6,566
P00007,Kelloggs,Snacks,Amazon,Kelloggs - Cracker Sandwiches,29,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,False,True,,0
P00008,Coca-Cola,Beverages,Kroger.com,Energy Drink 12pk by Coca-Cola,30,1,Made with real ingredients for a taste you'll love,True,True,False,True,True,3.2,3738
P00009,Coca-Cola,Beverages,Kroger.com,Energy Drink 12pk by Coca-Cola,30,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.8,3599
P00010,Colgate-Palmolive,Personal Care,Walmart.com,Colgate-Palmolive Toothpaste 6oz,32,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,,0
