product_id,brand,category,retailer,title,title_length,bullet_count,bullets,has_main_image,has_lifestyle_images,has_a_plus_content,in_stock,price_present,star_rating,review_count,shelf_health_score,issues,severity,suggested_title,suggested_bullets
P00003,Colgate-Palmolive,Home Care,Instacart,Colgate-Palmolive Dish,22,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,False,True,2.9,2708,65.5,Missing A+ content; Out of stock; Title too short,At Risk,"Colgate-Palmolive Dish - Home Care Essential, Multipack","Premium home care from Colgate-Palmolive, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00006,Kelloggs,Snacks,Instacart,Kelloggs Cheese Crackers Box (Pack of 8),40,1,Made with real ingredients for a taste you'll love,True,False,False,True,True,3.6,566,56.7,Missing lifestyle images; Missing A+ content; Thin bullets (1/5),At Risk,"Kelloggs Cheese Crackers Box 8 - Snacks Essential, Multipack","Premium snacks from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00007,Kelloggs,Snacks,Amazon,Kelloggs - Cracker Sandwiches,29,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,False,True,,0,67.2,Missing A+ content; Out of stock; Title too short,At Risk,"Kelloggs Cracker Sandwiches - Snacks Essential, Multipack","Premium snacks from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00008,Coca-Cola,Beverages,Kroger.com,Energy Drink 12pk by Coca-Cola,30,1,Made with real ingredients for a taste you'll love,True,True,False,True,True,3.2,3738,64.2,Missing A+ content; Thin bullets (1/5); Title too short,At Risk,"Coca-Cola Energy Drink 12pk - Beverages Essential, Multipack","Premium beverages from Coca-Cola, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00009,Coca-Cola,Beverages,Kroger.com,Energy Drink 12pk by Coca-Cola,30,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.8,3599,67.5,Missing lifestyle images; Missing A+ content; Title too short,At Risk,"Coca-Cola Energy Drink 12pk - Beverages Essential, Multipack","Premium beverages from Coca-Cola, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00010,Colgate-Palmolive,Personal Care,Walmart.com,Colgate-Palmolive Toothpaste 6oz,32,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,,0,68.0,Missing lifestyle images; Missing A+ content; Title too short,At Risk,"Colgate-Palmolive Toothpaste 6oz - Personal Care Essential, Multipack","Premium personal care from Colgate-Palmolive, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00011,Nestle,Confectionery,Kroger.com,Nestle - Mint Tin,17,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,False,True,2.9,86,54.2,Missing lifestyle images; Missing A+ content; Out of stock; Title too short,At Risk,"Nestle Mint Tin - Confectionery Essential, Multipack","Premium confectionery from Nestle, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00012,Kelloggs,Breakfast,Amazon,Kelloggs Granola Bars 6pk,25,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",False,False,True,True,True,3.1,3831,59.5,Missing main image; Missing lifestyle images; Thin bullets (2/5); Title too short,At Risk,"Kelloggs Granola Bars 6pk - Breakfast Essential, Multipack","Premium breakfast from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00017,Nestle,Beverages,Amazon,Nestle Juice,12,0,,True,True,False,True,True,3.0,2692,53.0,Missing A+ content; Thin bullets (0/5); Title too short,At Risk,"Nestle Juice - Beverages Essential, Multipack","Premium beverages from Nestle, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00018,Kelloggs,Snacks,Walmart.com,Kelloggs Pretzel Bag (Pack of 6),32,1,Made with real ingredients for a taste you'll love,True,True,False,False,True,4.0,409,54.7,Missing A+ content; Out of stock; Thin bullets (1/5); Title too short,At Risk,"Kelloggs Pretzel Bag 6 - Snacks Essential, Multipack","Premium snacks from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
