product_id,brand,category,retailer,title,title_length,bullet_count,bullets,has_main_image,has_lifestyle_images,has_a_plus_content,in_stock,price_present,star_rating,review_count,shelf_health_score,issues,severity
P00001,Coca-Cola,Beverages,Target.com,Coca-Cola Energy Drink 12pk,27,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,2.9,814,76.8,Missing A+ content; Title too short,Needs Minor Fixes
P00002,Kelloggs,Snacks,Instacart,Kelloggs Cheese Crackers Box,28,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,True,3.6,1470,97.0,Title too short,Healthy
P00003,Colgate-Palmolive,Home Care,Instacart,Colgate-Palmolive Dish,22,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,False,True,2.9,2708,65.5,Missing A+ content; Out of stock; Title too short,At Risk
P00004,Nestle,Confectionery,Walmart.com,Nestle Chocolate Bar (Pack of 1),32,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,True,4.1,700,98.0,Title too short,Healthy
P00005,Kelloggs,Breakfast,Instacart,Kelloggs - Granola Bars 6pk,27,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,True,True,True,3.2,3862,86.8,Missing lifestyle images; Title too short,Needs Minor Fixes
P00006,Kelloggs,Snacks,Instacart,Kelloggs Cheese Crackers Box (Pack of 8),40,1,Made with real ingredients for a taste you'll love,True,False,False,True,True,3.6,566,56.7,Missing lifestyle images; Missing A+ content; Thin bullets (1/5),At Risk
P00007,Kelloggs,Snacks,Amazon,Kelloggs - Cracker Sandwiches,29,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,False,True,,0,67.2,Missing A+ content; Out of stock; Title too short,At Risk
P00008,Coca-Cola,Beverages,Kroger.com,Energy Drink 12pk by Coca-Cola,30,1,Made with real ingredients for a taste you'll love,True,True,False,True,True,3.2,3738,64.2,Missing A+ content; Thin bullets (1/5); Title too short,At Risk
P00009,Coca-Cola,Beverages,Kroger.com,Energy Drink 12pk by Coca-Cola,30,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.8,3599,67.5,Missing lifestyle images; Missing A+ content; Title too short,At Risk
P00010,Colgate-Palmolive,Personal Care,Walmart.com,Colgate-Palmolive Toothpaste 6oz,32,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,,0,68.0,Missing lifestyle images; Missing A+ content; Title too short,At Risk
P00011,Nestle,Confectionery,Kroger.com,Nestle - Mint Tin,17,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,False,True,2.9,86,54.2,Missing lifestyle images; Missing A+ content; Out of stock; Title too short,At Risk
P00012,Kelloggs,Breakfast,Amazon,Kelloggs Granola Bars 6pk,25,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",False,False,True,True,True,3.1,3831,59.5,Missing main image; Missing lifestyle images; Thin bullets (2/5); Title too short,At Risk
P00013,Kelloggs,Snacks,Instacart,Kelloggs Cheese Crackers Box,28,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,2.9,2982,77.0,Missing A+ content; Title too short,Needs Minor Fixes
P00014,Colgate-Palmolive,Personal Care,Walmart.com,Colgate-Palmolive - Mouthwash 1L,32,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,True,False,True,True,2.9,2214,78.0,Missing A+ content; Title too short,Needs Minor Fixes
P00015,Coca-Cola,Beverages,Walmart.com,Coca-Cola - Diet Cola 2L Bottle,31,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",False,True,True,True,True,3.4,2853,77.8,Missing main image; Title too short,Needs Minor Fixes
P00016,Kelloggs,Snacks,Walmart.com,Kelloggs Cheese Crackers Box,28,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,True,True,True,,0,87.0,Missing lifestyle images; Title too short,Needs Minor Fixes
P00017,Nestle,Beverages,Amazon,Nestle Juice,12,0,,True,True,False,True,True,3.0,2692,53.0,Missing A+ content; Thin bullets (0/5); Title too short,At Risk
P00018,Kelloggs,Snacks,Walmart.com,Kelloggs Pretzel Bag (Pack of 6),32,1,Made with real ingredients for a taste you'll love,True,True,False,False,True,4.0,409,54.7,Missing A+ content; Out of stock; Thin bullets (1/5); Title too short,At Risk
P00019,Coca-Cola,Beverages,Target.com,Coca-Cola Juice Drink 6pk,25,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,,0,76.2,Missing A+ content; Title too short,Needs Minor Fixes
P00020,Kelloggs,Breakfast,Amazon,Kelloggs Instant Oatmeal 8pk,28,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,True,,0,97.0,Title too short,Healthy
P00021,Kelloggs,Snacks,Amazon,Pretzel Bag by Kelloggs,23,0,,True,True,False,True,True,4.0,458,55.8,Missing A+ content; Thin bullets (0/5); Title too short,At Risk
P00022,Coca-Cola,Beverages,Amazon,Coca-Cola - Juice Drink 6pk,27,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,True,False,False,True,4.2,2731,66.8,Missing A+ content; Out of stock; Title too short,At Risk
P00023,Coca-Cola,Beverages,Instacart,Coca-Cola - Juice Drink 6pk,27,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",False,False,False,True,True,4.8,3285,46.8,Missing main image; Missing lifestyle images; Missing A+ content; Title too short,Critical
P00024,Nestle,Confectionery,Amazon,Nestle Wafer Bar Multipack (Pack of 8),38,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,True,True,True,True,3.2,1344,92.8,Thin bullets (2/5); Title too short,Healthy
P00025,Colgate-Palmolive,Personal Care,Target.com,Bar Soap 3pk by Colgate-Palmolive,33,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,True,False,True,3.7,2984,78.2,Missing lifestyle images; Out of stock; Title too short,Needs Minor Fixes
P00026,Colgate-Palmolive,Home Care,Kroger.com,Colgate-Palmolive - Laundry Detergent 50oz,42,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,True,False,True,True,4.2,1491,73.3,Missing A+ content; Thin bullets (2/5),Needs Minor Fixes
P00027,Mondelez,Snacks,Kroger.com,Mondelez Pretzel Bag,20,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,3.7,3851,75.0,Missing A+ content; Title too short,Needs Minor Fixes
P00028,Mondelez,Snacks,Kroger.com,Mondelez Chips Family Size,26,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,False,False,True,True,3.9,3251,59.8,Missing lifestyle images; Missing A+ content; Thin bullets (2/5); Title too short,At Risk
P00029,Nestle,Breakfast,Target.com,Corn Flakes Cereal by Nestle,28,1,Made with real ingredients for a taste you'll love,False,True,True,True,True,4.9,2503,63.7,Missing main image; Thin bullets (1/5); Title too short,At Risk
P00030,Coca-Cola,Beverages,Kroger.com,Coca-Cola Iced Coffee 4pk (Pack of 4),37,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,True,True,True,3.7,720,89.2,Missing lifestyle images; Title too short,Needs Minor Fixes
P00031,Kelloggs,Snacks,Kroger.com,Kelloggs Cracker Sandwiches,27,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,False,True,False,,0,56.8,Missing lifestyle images; Missing A+ content; Price missing; Title too short,At Risk
P00032,Kelloggs,Snacks,Instacart,Kelloggs Chips Family Size (Pack of 4),38,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,True,True,True,3.7,2922,89.5,Missing lifestyle images; Title too short,Needs Minor Fixes
